sampleId,filename,datasetid
13155,13155_chexmix_peaks.bed,1d70f2d1930c7982
13156,13156_chexmix_peaks.bed,6057bb583fb4a96c
13157,13157_chexmix_peaks.bed,24ea83f08bc6ad2f
13158,13158_chexmix_peaks.bed,fff3725f914801c8
13209,13209_chexmix_peaks.bed,0edba8150d4c6e6f
13210,13210_chexmix_peaks.bed,8f398fe889a920a9
13211,13211_chexmix_peaks.bed,ed2856ae54df6072
13365,13365_chexmix_peaks.bed,bbfdc7951a7ad5e0
13439,13439_chexmix_peaks.bed,7242a8b7194af48d
13440,13440_chexmix_peaks.bed,f8bd916a5b99841d
13441,13441_chexmix_peaks.bed,8799617dbc0dd614
13442,13442_chexmix_peaks.bed,c22ec2836b7f234e
13443,13443_chexmix_peaks.bed,18a9a9c437a65221
13445,13445_chexmix_peaks.bed,46280d89dd8ce0bd
13446,13446_chexmix_peaks.bed,a972a9996bfe3ea9
13447,13447_chexmix_peaks.bed,9b3b2815634cd311
13448,13448_chexmix_peaks.bed,0460254bcb5adb36
13449,13449_chexmix_peaks.bed,ef3581b8c24a18e1
13450,13450_chexmix_peaks.bed,a9a78fcd8818397a
13451,13451_chexmix_peaks.bed,f2444aeca24bb7e2
13452,13452_chexmix_peaks.bed,fde1425a2a07bd09
13454,13454_chexmix_peaks.bed,17fd68de798650cd
13455,13455_chexmix_peaks.bed,2eec035f7b38c408
13456,13456_chexmix_peaks.bed,126ac7e5a7c90ec9
13457,13457_chexmix_peaks.bed,db6404ae633d8729
13458,13458_chexmix_peaks.bed,be58480c0f80dbba
13459,13459_chexmix_peaks.bed,a5dbec156dc0914f
13460,13460_chexmix_peaks.bed,04631b87b6a4aa4f
13461,13461_chexmix_peaks.bed,45817ac92424170c
13462,13462_chexmix_peaks.bed,d5197b1cae593056
13463,13463_chexmix_peaks.bed,189773b2d5be1114
13464,13464_chexmix_peaks.bed,7e19e7882a090d94
13465,13465_chexmix_peaks.bed,d70360a23fcc847b
13466,13466_chexmix_peaks.bed,73498741091ac13e
13467,13467_chexmix_peaks.bed,db2e32fcab5b67e6
13468,13468_chexmix_peaks.bed,0a621ff2acc808b7
13469,13469_chexmix_peaks.bed,f95771512e297a11
13470,13470_chexmix_peaks.bed,e99ff1ba6a7a7b76
13471,13471_chexmix_peaks.bed,54e7e0152b54e6f8
13472,13472_chexmix_peaks.bed,c89bce2b3045884e
13473,13473_chexmix_peaks.bed,44f9e2689f68e562
13474,13474_chexmix_peaks.bed,6582394364bbacfe
13475,13475_chexmix_peaks.bed,91558f4175312fb8
13476,13476_chexmix_peaks.bed,25ecdaac77bfa0a4
13478,13478_chexmix_peaks.bed,e9e3be20436e2c16
13479,13479_chexmix_peaks.bed,eb231a4e26045bf4
13480,13480_chexmix_peaks.bed,98dc4ef7def32535
13481,13481_chexmix_peaks.bed,8e01274b6e23adf5
13775,13775_chexmix_peaks.bed,4772f665f4a123bd
13776,13776_chexmix_peaks.bed,2e10af720e8362ed
13777,13777_chexmix_peaks.bed,535a21f9eaf36d94
13779,13779_chexmix_peaks.bed,097cb017dc04fdba
13782,13782_chexmix_peaks.bed,88cc421bdc5a1cbb
13785,13785_chexmix_peaks.bed,e8b9f31fb92813d6
13786,13786_chexmix_peaks.bed,d704c6e088a8b087
13789,13789_chexmix_peaks.bed,a0811d31e1058bd1
13791,13791_chexmix_peaks.bed,5a41539281ba7285
13792,13792_chexmix_peaks.bed,98c9b162f057c156
13793,13793_chexmix_peaks.bed,6f5d4cde457b3c6b
13794,13794_chexmix_peaks.bed,11044a0e036381ea
13795,13795_chexmix_peaks.bed,009be5d37da346b7
13799,13799_chexmix_peaks.bed,1a900c81a3ccebf0
13800,13800_chexmix_peaks.bed,36b49683230685eb
13801,13801_chexmix_peaks.bed,c32a40823cbbec45
13802,13802_chexmix_peaks.bed,4aabb5781d4b0407
13804,13804_chexmix_peaks.bed,63064baf6362c351
13805,13805_chexmix_peaks.bed,b0a8d294340b4067
13806,13806_chexmix_peaks.bed,233a0310bf962700
13807,13807_chexmix_peaks.bed,324969e247a728a9
13808,13808_chexmix_peaks.bed,9dea73a5d721c34a
13809,13809_chexmix_peaks.bed,292846b9c2e8e4ac
13812,13812_chexmix_peaks.bed,66edcfcf9059a1cb
13813,13813_chexmix_peaks.bed,a9ffdc11c25f3af7
13816,13816_chexmix_peaks.bed,213c303f16284dd7
13817,13817_chexmix_peaks.bed,10cbb91fefe5e9fc
13819,13819_chexmix_peaks.bed,af510ac539bca146
13884,13884_chexmix_peaks.bed,46320fa6c27e0ffd
13885,13885_chexmix_peaks.bed,f79aaa85694f5620
13886,13886_chexmix_peaks.bed,b2e0aa18d679f80c
13887,13887_chexmix_peaks.bed,ab787138ccb57b96
13888,13888_chexmix_peaks.bed,d97a6ad0d2d007b3
13889,13889_chexmix_peaks.bed,b58b693b71eb0192
13890,13890_chexmix_peaks.bed,6bc97df23413d1c5
13893,13893_chexmix_peaks.bed,f02087fcbb9258c6
13894,13894_chexmix_peaks.bed,40a177d578fe7666
13895,13895_chexmix_peaks.bed,df945e76a3454c79
13896,13896_chexmix_peaks.bed,7c5379569acd1e82
13897,13897_chexmix_peaks.bed,dd6edc17ebf4dedb
13898,13898_chexmix_peaks.bed,57b10298fabdd131
13899,13899_chexmix_peaks.bed,3a19f728eea3a875
14155,14155_chexmix_peaks.bed,98e548c05512d273
14158,14158_chexmix_peaks.bed,01f40761ea87d658
14159,14159_chexmix_peaks.bed,4cc9fe985f4878d3
14162,14162_chexmix_peaks.bed,cc7a1333aee7aef0
14166,14166_chexmix_peaks.bed,e882b37e26d0c1a1
14175,14175_chexmix_peaks.bed,7385e89f170d5323
14176,14176_chexmix_peaks.bed,54ec9e9f669c4228
14180,14180_chexmix_peaks.bed,1009ae1e5d6e2ff4
14181,14181_chexmix_peaks.bed,2ffc0cc22537c983
